"","ny_grk","gammel_grk","fra_aar","til_aar"
"5586",NA,"30230100","2020-01-01","2024-01-01"
"5587","30230100","30230101","2020-01-01","2024-01-01"
"5588","30230100","30230102","2020-01-01","2024-01-01"
"5589","30230100","30230103","2020-01-01","2024-01-01"
"5590","30230100","30230104","2020-01-01","2024-01-01"
"5591","30230100","30230105","2020-01-01","2024-01-01"
"5592",NA,"30230200","2020-01-01","2024-01-01"
"5593","30230200","30230201","2020-01-01","2024-01-01"
"5594","30230200","30230202","2020-01-01","2024-01-01"
"5595","30230200","30230203","2020-01-01","2024-01-01"
"5596","30230200","30230204","2020-01-01","2024-01-01"
"5597","30230200","30230205","2020-01-01","2024-01-01"
"5598","30230200","30230206","2020-01-01","2024-01-01"
"5599","30230200","30230207","2020-01-01","2024-01-01"
"5600","30230200","30230208","2020-01-01","2024-01-01"
"5601","30230200","30230209","2020-01-01","2024-01-01"
"5602","30230200","30230210","2020-01-01","2024-01-01"
"5603","30230200","30230211","2020-01-01","2024-01-01"
"5604","30230200","30230212","2020-01-01","2024-01-01"
"5605",NA,"30230300","2020-01-01","2024-01-01"
"5606","30230300","30230301","2020-01-01","2024-01-01"
"5607","30230300","30230302","2020-01-01","2024-01-01"
"5608","30230300","30230303","2020-01-01","2024-01-01"
"5609","30230300","30230304","2020-01-01","2024-01-01"
"5610",NA,"30230400","2020-01-01","2024-01-01"
"5611","30230400","30230401","2020-01-01","2024-01-01"
"5612","30230400","30230402","2020-01-01","2024-01-01"
"5613","30230400","30230403","2020-01-01","2024-01-01"
